from,to,position,confidence_before,confidence_after
0,2,2263,1.0,0.9999999948935887
2,1,2268,0.9994041016181613,1.0
1,2,2269,1.0,0.9999974400903692
2,0,2283,0.9999999502959701,1.0
0,2,2284,1.0,0.9999426618019988
2,1,2289,0.9999999803893866,0.9999999999896652
1,2,2290,0.9999999999896652,0.9999999992382502
2,0,2299,0.9999999999882103,1.0
0,2,2300,1.0,0.9999999999492246
2,1,2322,0.9999999998748912,1.0
1,2,2323,1.0,0.9999810675492968
2,1,2326,0.9999983040108849,0.9999999533946788
1,2,2327,0.9999999533946788,0.9999942714357993
2,1,2331,0.9999999981203498,0.9999999999931397
1,2,2333,0.9999998536541224,0.9999996132676243
2,1,2343,0.9978414998823817,1.0
1,2,2345,0.9999999954064887,0.9999999994524131
2,1,2346,0.9999999994524131,0.9999999999929212
1,3,2347,0.9999999999929212,0.9999999801535193
3,2,2348,0.9999999801535193,0.9999999996086828
2,1,2355,0.9960356773923073,1.0
1,2,2356,1.0,0.9999895635964898
2,1,2369,0.9999999993629327,0.9999982617099379
1,2,2370,0.9999982617099379,0.9992167859453591
2,1,2396,0.9999757375192679,0.999999970070244
1,2,2397,0.999999970070244,0.9999996291430809
2,1,2399,0.9999997178306977,0.9999999999998002
1,2,2400,0.9999999999998002,0.9999999993050892
2,1,2418,0.9999999582034791,1.0
1,2,2419,1.0,0.9999999989023323
2,0,2431,0.9999999969709901,1.0
0,2,2432,1.0,0.9999999998004689
2,1,2447,0.9999763629597411,0.9999893226247906
1,2,2448,0.9999893226247906,0.9999373930379681
2,1,2455,0.9988303767621373,0.9999999999578559
1,2,2456,0.9999999999578559,0.9999999998212328
2,3,2500,0.9999998836680316,1.0
3,2,2501,1.0,0.9999984547995561
2,1,2508,0.9999999989151327,1.0
1,2,2509,1.0,0.9999999993355999
2,1,2525,0.9963983804518529,0.9999999961130825
1,2,2526,0.9999999961130825,0.9999999858201002
2,3,2535,0.9999876581952497,1.0
3,2,2536,1.0,0.9999967796371527
2,0,2539,0.9999884999422792,1.0
0,2,2540,1.0,0.9999999996850661
2,1,2576,0.9999999996477484,0.999740589504768
1,2,2577,0.999740589504768,0.985974513667959
2,0,2595,0.9999999968937558,1.0
0,2,2596,1.0,0.9999999892195924
2,1,2601,0.9999999369997019,1.0
1,2,2602,1.0,0.9999936979632249
2,1,2609,0.9999999999619273,0.9999999983621506
1,2,2610,0.9999999983621506,0.9998065091328158
2,1,2614,0.999999844769167,0.9999999999999947
1,2,2615,0.9999999999999947,0.999999865117813
2,3,2628,0.9999999891547448,1.0
3,2,2629,1.0,0.9999811420530147
2,3,2631,0.9999994502800417,1.0
3,2,2632,1.0,0.9999999357302108
2,1,2661,0.9999736354307878,1.0
1,2,2662,1.0,0.9999999999985052
2,3,2664,0.9999999753262315,1.0
3,2,2665,1.0,0.999995973235695
2,1,2672,0.9999999882199494,0.9999999993849862
1,2,2673,0.9999999993849862,0.9999994871506922
2,1,2674,0.9999994871506922,1.0
1,2,2680,0.9999999999999982,0.9999999999210321
2,1,2692,0.9999998137486865,0.9999999999944116
1,2,2693,0.9999999999944116,0.9999892825728434
2,1,2710,0.9999965129480739,0.99998770632323
1,2,2711,0.99998770632323,0.9999999960911321
2,1,2740,0.9999999727262224,0.9999999061902125
1,2,2741,0.9999999061902125,0.9999999417688165
2,0,2750,0.9999999517808551,1.0
0,2,2751,1.0,0.9999997936398888
2,1,2764,0.9999999827518736,1.0
1,2,2765,1.0,0.9999999126751826
2,1,2769,0.9999999795743089,1.0
1,2,2770,1.0,0.9999991112819663
2,1,2792,0.999999999231715,0.9999999984499013
1,2,2793,0.9999999984499013,0.9999999987437143
2,1,2806,0.9999999981387795,0.9999999999986411
1,3,2807,0.9999999999986411,1.0
3,2,2809,1.0,0.9999555271375294
2,1,2837,0.9990315200097181,0.9968011744075509
1,2,2838,0.9968011744075509,0.9999999919401539
2,0,2841,0.9999999999995088,1.0
0,2,2842,1.0,0.9999999964679311
2,1,2850,0.9999999986309174,0.9999999998930305
1,2,2851,0.9999999998930305,0.9999976671066084
2,1,2854,0.9999999996846363,0.9999999597185195
1,2,2855,0.9999999597185195,0.9999153242280764
2,1,2860,0.9999999998047588,1.0
1,2,2862,0.9999999999999876,0.9999999988310186
2,1,2867,0.999999999386727,0.9999966873160913
1,2,2868,0.9999966873160913,0.999999998928093
2,1,2877,0.9999611355658939,0.9999999999834763
1,0,2878,0.9999999999834763,1.0
0,1,2879,1.0,0.9999999999341709
1,2,2880,0.9999999999341709,0.9999807102753742
2,1,2895,0.9999999987561967,0.9999999999764118
1,2,2896,0.9999999999764118,0.9999298426384464
2,1,2899,0.999999999957236,0.9999999996308926
1,2,2900,0.9999999996308926,0.9999750591521868
2,1,2906,0.9999511054306933,0.9999999995014868
1,2,2908,0.9999999998613545,0.9999999876583346
2,1,2923,0.9999999719469099,0.9990968182445126
1,2,2924,0.9990968182445126,0.999999834911136
2,1,2927,0.9999971562724448,0.9999988334389248
1,2,2928,0.9999988334389248,0.9998170517764063
2,0,2934,0.9999999998267057,1.0
0,2,2935,1.0,0.9999999798623274
2,0,2941,0.9999957710469455,1.0
0,2,2942,1.0,0.9999999642015129
2,0,2944,0.9999983443695789,1.0
0,2,2945,1.0,0.999999256976557
2,1,2954,0.9999999998405613,0.9999991933483587
1,2,2955,0.9999991933483587,0.9999999991202273
2,1,2957,0.9999999999950768,0.9999990342794698
1,2,2958,0.9999990342794698,0.9999997373247876
2,1,2959,0.9999997373247876,0.9999999837285732
1,2,2960,0.9999999837285732,0.9999999965725905
2,1,2974,0.9999999958605237,0.9999946661219453
1,2,2975,0.9999946661219453,0.9999999999807105
2,1,2977,0.9999999999955875,1.0
1,2,2978,1.0,0.9999823851389493
2,1,2988,0.9999348705945712,0.9999999991596402
1,2,2989,0.9999999991596402,0.9999999999998685
2,0,2990,0.9999999999998685,0.9894998159068912
0,2,2991,0.9894998159068912,0.9999999992921218
2,1,2995,0.9999902126104976,0.9999999999999583
1,2,2996,0.9999999999999583,0.9999946757010628
2,0,3008,0.9999282171128454,1.0
0,2,3009,1.0,0.9999998918315166
2,1,3018,0.999993952763513,1.0
1,2,3019,1.0,0.9991723119301187
2,1,3021,0.9999946196631434,0.9999999371670578
1,2,3022,0.9999999371670578,0.9778891839036874
2,1,3030,0.9999857677837394,0.9999999310764723
1,2,3031,0.9999999310764723,0.9999999999983995
