from,to,position,confidence_before,confidence_after
4,1,459,1.0,1.0
1,0,465,1.0,1.0
0,1,466,1.0,1.0
1,4,468,1.0,1.0
4,1,481,1.0,1.0
1,4,482,1.0,1.0
4,1,485,1.0,1.0
1,3,486,1.0,0.9999926547214688
3,4,487,0.9999926547214688,1.0
4,0,489,0.9999409362060615,1.0
0,4,490,1.0,0.9999999999998899
4,2,495,1.0,1.0
2,4,496,1.0,0.9999999873420437
4,1,499,1.0,1.0
1,4,501,1.0,1.0
4,3,503,0.9999999999963212,0.9908880116897013
3,4,504,0.9908880116897013,0.9999999999145448
4,2,506,0.9999999999817657,1.0
2,4,507,1.0,1.0
4,2,508,1.0,1.0
2,0,509,1.0,1.0
0,4,510,1.0,0.9999999999994156
4,1,512,1.0,0.9999999999894209
1,4,513,0.9999999999894209,1.0
4,2,517,0.9999999994046362,1.0
2,4,518,1.0,0.9999999999981117
4,3,526,1.0,0.9999389135119423
3,4,527,0.9999389135119423,0.9999999998564686
4,1,530,1.0,1.0
1,3,531,1.0,1.0
3,0,532,1.0,1.0
0,1,533,1.0,1.0
1,4,534,1.0,0.9999999999981153
4,0,535,0.9999999999981153,1.0
0,4,536,1.0,1.0
4,3,537,1.0,0.9999524685086264
3,1,538,0.9999524685086264,1.0
1,4,539,1.0,1.0
4,2,549,1.0,0.9999999999999964
2,4,550,0.9999999999999964,0.9999999999999947
4,2,553,1.0,1.0
2,4,554,1.0,0.9999999999965112
4,1,555,0.9999999999965112,1.0
1,4,557,1.0,1.0
4,1,559,1.0,1.0
1,3,564,1.0,0.9999999999999716
3,1,565,0.9999999999999716,1.0
1,4,566,1.0,1.0
4,1,567,1.0,1.0
1,2,568,1.0,1.0
2,1,569,1.0,1.0
1,4,575,1.0,0.9999999999345128
4,1,576,0.9999999999345128,1.0
1,2,577,1.0,0.9999967390758695
2,3,578,0.9999967390758695,0.9999929789470989
3,4,579,0.9999929789470989,1.0
4,1,580,1.0,0.9999999999999973
1,0,581,0.9999999999999973,1.0
0,4,582,1.0,1.0
4,3,587,1.0,1.0
3,4,589,1.0,1.0
4,0,590,1.0,1.0
0,4,591,1.0,0.9999999999999929
4,0,594,1.0,1.0
0,1,596,1.0,1.0
1,2,597,1.0,0.999999999996918
